gold_label	sentence1	sentence2
Neutral	A man making a sand sculpture.	A lot of people like to make sand sculpture while they rest
Invalidate	A young girl is laying in the grass posing for the camera	The woman gets food in the kitchen.
Support	A young girl is laying in the grass posing for the camera	The woman tries to take good photos.
Neutral	A young girl is laying in the grass posing for the camera	Most people like to take pictures.
Invalidate	Opening presents around a Christmas tree.	They enjoy what they got.
Support	Opening presents around a Christmas tree.	Laughing and singing as they exchange gifts.
Neutral	Opening presents around a Christmas tree.	Holidays are a great time for families to come together.
Invalidate	Two women are standing outside looking at something with funny expressions on their faces while the other people around them do n't seem to notice.	They have dinner and sone drinks at the local restaurant
Support	Two women are standing outside looking at something with funny expressions on their faces while the other people around them do n't seem to notice.	They laugh about what they saw earlier
Neutral	Two women are standing outside looking at something with funny expressions on their faces while the other people around them do n't seem to notice.	It is a fun night
Invalidate	Two children play outside in the yard.	The school bus is picking up the kids
Support	Two children play outside in the yard.	it is gratifying to see children playing happily
Neutral	Two children play outside in the yard.	Children's environment should always be healthy
Invalidate	A boy in a striped shirt and glasses sitting and looking very bored with his head resting in his hand.	Boy went home for eating dinner.
Support	A boy in a striped shirt and glasses sitting and looking very bored with his head resting in his hand.	The boy continues to sit idle.
Neutral	A boy in a striped shirt and glasses sitting and looking very bored with his head resting in his hand.	Kids lose interest very easily these days.
Invalidate	Many people swimming is a lake surrounded by trees and houses.	they are out to the pool
Support	Many people swimming is a lake surrounded by trees and houses.	people swimming in the lake
Neutral	Many people swimming is a lake surrounded by trees and houses.	the lake is shallow enough for kids to play
Invalidate	A young guy, probably in his early twenties, shows off his culinary skills with pride.	The guy takes a nap in his bed.
Support	A young guy, probably in his early twenties, shows off his culinary skills with pride.	The guy tries to cook a great meal.
Neutral	A young guy, probably in his early twenties, shows off his culinary skills with pride.	Most people enjoy making good food.
Invalidate	A pilot bends over to carry luggage outside of an airplane.	the lugagge opens up and all the clothes fell on the ground
Support	A pilot bends over to carry luggage outside of an airplane.	the pilot is about to do an intercontinental flight
Neutral	A pilot bends over to carry luggage outside of an airplane.	the company hired many pilot that year because the number of planed increased
Invalidate	There is a woman in a black jacket and sunglasses and a man in a white shirt with his back turned.	She searches desperately for her sunglasses but fears she might have left it in his car when he gave her a lift home.
Support	There is a woman in a black jacket and sunglasses and a man in a white shirt with his back turned.	He turns and looks at her
Neutral	There is a woman in a black jacket and sunglasses and a man in a white shirt with his back turned.	She always pictures him standing there looking at the sky as his baggy shirt blows in the wind.
Invalidate	A family posing with a bride in a white dress at a wedding.	It is the first time they woke up married.
Support	A family posing with a bride in a white dress at a wedding.	All the relatives and friends are lined up to have a photo taken with the young bride and groom.
Neutral	A family posing with a bride in a white dress at a wedding.	Against the common belief
Invalidate	A group of friends posing by a guard rail.	The friends admired how well the photograph turned out.
Support	A group of friends posing by a guard rail.	The cameraman takes the photo.
Neutral	A group of friends posing by a guard rail.	Hiring independent photographers for group outings is becoming more commonplace.
Invalidate	The boy in the black and yellow mask is talking with the man in the blue shirt.	The boy got a ticket from the man.
Support	The boy in the black and yellow mask is talking with the man in the blue shirt.	The two people go to eat at a restaurant.
Neutral	The boy in the black and yellow mask is talking with the man in the blue shirt.	Most people enjoy speaking with others.
